decklist_id,player_name,place,offense,defense,total_points,total_ls_differential,rank,round_1_opponent,round_1_score,round_1_ls_differential,round_1_player_score,round_1_opponent_score,round_2_opponent,round_2_score,round_2_ls_differential,round_2_player_score,round_2_opponent_score,round_3_opponent,round_3_score,round_3_ls_differential,round_3_player_score,round_3_opponent_score,round_4_opponent,round_4_score,round_4_ls_differential,round_4_player_score,round_4_opponent_score,round_5_opponent,round_5_score,round_5_ls_differential,round_5_player_score,round_5_opponent_score,round_6_opponent,round_6_score,round_6_ls_differential,round_6_player_score,round_6_opponent_score,round_7_opponent,round_7_score,round_7_ls_differential,round_7_player_score,round_7_opponent_score
nats2024_10th_shon_sievers.txt,shon_sievers,10,priests,black,14.0,10,,kayden_lafountain,3.0,3,5,2,robin_dermo,2.0,2,4,2,john_hendrix,0,-2,3,5,aiden_reisenbigler,3.0,3,5,2,andy_fish,3.0,2,5,3,justin_alstad,0.0,-1,4,5,phillip_anderson,3.0,3,5,2
nats2024_11th_justin_alstad.txt,justin_alstad,11,nativity,black/gray,14.0,8,,matt_potratz,2.0,2,4,2,mitch_stewart,3.0,3,5,2,aiden_reisenbigler,3,2,5,3,john_hendrix,3.0,4,5,1,luke_marshall,0.0,-1,4,5,shon_sievers,3.0,1,5,4,jeremy_chambers,0.0,-3,2,5
nats2024_12th_john_hendrix.txt,john_hendrix,12,nativity,black/gray,14.0,8,,sean_murphy,3.0,4,5,1,stephen_brooks,2.0,1,3,2,shon_sievers,3,2,5,3,justin_alstad,0.0,-4,1,5,phillip_anderson,3.0,3,5,2,jeremy_chambers,0.0,-1,4,5,luke_anderson,3.0,3,5,2
nats2024_13th_matt_potratz.txt,matt_potratz,13,daniel,demons,13.5,4,,justin_alstad,1.0,-2,2,4,nathan_voigt,3.0,1,5,4,ryan_greeson,2,1,3,2,brandon_swango,3.0,2,5,3,jayden_alstad,0.0,-1,4,5,jamie_coller,1.5,0,4,4,brandon_wade,3.0,3,5,2
nats2024_14th_charles_johnson.txt,charles_johnson,14,blue,pale green,13.5,4,,joe_roberts,1.5,0,3,3,jeremy_chambers,0.0,-4,1,5,stephen_coates,3,3,5,2,brandon_wade,3.0,1,5,4,joe_andrighetti,0.0,-1,4,5,brandon_swango,3.0,3,5,2,jamie_coller,3.0,2,5,3
nats2024_15th_stephen_brooks.txt,stephen_brooks,15,clay,thieves,13.0,7,,ari_growth,3.0,4,5,1,john_hendrix,1.0,-1,2,3,jake_antonetz,0,-2,3,5,cooper_knoy,3.0,3,5,2,jonathan_greeson,3.0,3,5,2,joe_andrighetti,0.0,-1,4,5,allen_gonzales,3.0,1,5,4
nats2024_16th_jonathan_greeson.txt,jonathan_greeson,16,clay,black soul hide,13.0,3,,cooper_knoy,3.0,3,5,2,luke_marshall,1.0,-3,1,4,robin_dermo,3,4,5,1,jake_antonetz,0.0,-3,2,5,stephen_brooks,0.0,-3,2,5,stephen_coates,3.0,4,5,1,mason_knoy,3.0,1,5,4
nats2024_17th_james_courtney.txt,james_courtney,17,nativity,thieves,12.5,7,,neeka_parker,3.0,4,5,1,jacob_arrowood,3.0,3,5,2,micah_rex,3,3,5,2,zach_gilbaugh,1.5,0,4,4,brian_jones,2.0,1,4,3,luke_marshall,0.0,-1,4,5,joe_andrighetti,0.0,-3,2,5
nats2024_18th_jay_chambers.txt,jay_chambers,18,clay,herods,12.0,10,,sergie_creech,3.0,4,5,1,jayden_alstad,0.0,-1,4,5,tarun_garcha,3,3,5,2,tim_estes,3.0,2,5,3,emmanuel_echavarria,0.0,-1,4,5,joe_roberts,3.0,4,5,1,jake_antonetz,0.0,-1,4,5
nats2024_19th_chad_frantz.txt,chad_frantz,19,nativity,herods,12.0,5,,joshua_potratz,0.0,-1,4,5,liam_coller,3.0,3,5,2,jacob_arrowood,3,3,5,2,emmanuel_echavarria,0.0,-1,4,5,joe_roberts,0.0,-1,4,5,kayden_lafountain,3.0,1,5,4,andy_fish,3.0,1,5,4
